Drug_name	Drug_ID	Number_of_Tested_Cell_lines	Threshold
Erlotinib	1	394	1.64556783161179
Rapamycin	3	358	-3.52073645577091
Sunitinib	5	398	0.51574749632605
PHA-665752	6	407	1.88125994187617
MG-132	9	398	-2.00467221917192
Paclitaxel	11	397	-5.663057917529
Cyclopamine	17	396	3.46580319157185
AZ628	29	402	0.702618744665676
Sorafenib	30	398	0.655535353965634
Tozasertib	32	394	-0.340341703808621
Imatinib	34	407	2.05472962835864
NVP-TAE684	35	404	-1.09554877413271
Crizotinib	37	406	1.3451800585718
Saracatinib	38	407	1.00718639994169
S-Trityl-L-cysteine	41	398	-0.732111513574356
Z-LLNle-CHO	45	399	-0.628182708398181
Dasatinib	51	394	-0.14772474088203
GNF-2	52	397	1.599986158375
CGP-60474	53	399	-3.63500660581331
CGP-082996	54	399	1.26450150243058
A-770041	55	399	1.87402467288355
WH-4-023	56	396	2.61727489543489
WZ-1-84	59	399	2.66917427388548
BI-2536	60	397	-3.99508131808673
BMS-536924	62	398	0.380218701995213
BMS-536924	1091	922	0.676856988973275
BMS-509744	63	400	1.61464135053458
CMK	64	399	0.386745468853775
Pyrimethamine	71	399	1.63384843810038
JW-7-52-1	83	384	-4.23214916058603
A-443654	86	399	-2.32966156989887
GW843682X	87	396	-4.88407970237074
Entinostat	88	395	-1.06191527333726
Parthenolide	89	401	1.137454774264
GSK319347A	91	401	3.07754881532624
TGX221	94	398	2.71068465011976
Bortezomib	104	393	-7.64543254430379
XMD8-85	106	396	1.22617300467968
Seliciclib	110	395	2.69774381926352
Salubrinal	111	397	2.1430342382527
Lapatinib	119	396	1.68151388714797
GSK269962A	127	399	0.622858546328255
GSK269962A	1192	922	0.52636185289561
Doxorubicin	133	877	-3.95640226592205
Doxorubicin	1386	934	-3.45421517110661
Etoposide	134	886	-1.19746184943781
Gemcitabine	135	865	-6.00691690728498
Gemcitabine	1393	932	-5.42231820641879
Mitomycin-C	136	877	-2.97984264806369
Vinorelbine	140	887	-5.95299941668669
NSC-87877	147	884	3.99245193104648
Bicalutamide	150	878	1.88526676854841
Bicalutamide	1502	875	3.61390731294877
QS11	151	879	1.33149748372151
CP466722	152	921	0.869134617750638
Midostaurin	153	888	-1.69303041567261
CHIR-99021	154	885	2.04219702541236
CHIR-99021	1241	911	2.20442897577552
Ponatinib	155	884	-1.29196600779561
AZD6482	156	883	0.691885957267037
AZD6482	1066	916	0.754956823732278
JNK-9L	157	886	-1.4020582480856
PF-562271	158	871	0.509292082634656
HG6-64-1	159	881	-1.02195813934417
JQ1	163	886	-1.88290415358424
JQ1	1218	911	1.3976430083983
JQ12	164	881	-0.919821893141807
DMOG	165	883	4.43482396206508
FTI-277	166	887	1.15693303824619
OSU-03012	167	877	0.492840770313284
Shikonin	170	880	-1.39866031797573
AKT inhibitor VIII	171	884	1.0078318388806
AKT inhibitor VIII	228	919	0.775764662669785
Embelin	172	880	1.59943298331739
FH535	173	875	0.536273621101893
PAC-1	175	865	0.321342321534191
IPA-3	176	876	1.75363068276027
GSK650394	177	871	1.05218832994763
BAY-61-3606	178	878	0.206333707736876
5-Fluorouracil	179	913	1.11117953834073
Thapsigargin	180	858	-6.17416130407816
Obatoclax Mesylate	182	869	-3.12489424198442
BMS-754807	184	872	-1.14232567725275
Linsitinib	185	874	0.542118135673727
Bexarotene	186	869	2.02754601876934
Bleomycin	190	862	-1.39445205539574
LFM-A13	192	878	3.7009996266213
GW-2580	193	920	4.55359101177759
Luminespib	194	869	-4.72561566275076
Phenformin	196	907	6.63825577301854
Bryostatin 1	197	874	-3.88826851631398
Pazopanib	199	873	1.64051368239293
Dacinostat	200	878	-4.18193534155664
Epothilone B	201	875	-7.43155150699368
GSK1904529A	202	877	1.38809019812832
BMS-345541	203	922	1.77165265595964
Tipifarnib	204	878	-0.280014154157809
Avagacestat	205	920	4.01242978294594
Avagacestat	1072	941	2.48867523163961
Ruxolitinib	206	922	3.24878903904489
AS601245	207	877	0.886389716672405
Ispinesib Mesylate	208	917	-4.61433634503486
TL-2-105	211	921	3.47999718488533
AT-7519	219	907	-1.69538977878254
TAK-715	221	922	2.4927125710089
BX-912	222	920	0.617078496635875
ZSTK474	223	917	-1.20611217513712
AS605240	224	915	1.23456153142964
Genentech Cpd 10	225	918	0.510610842575099
GSK1070916	226	873	0.0508850907920024
Enzastaurin	229	918	1.27349287997308
GSK429286A	230	919	3.36674780644235
FMK	231	791	3.98346498071992
QL-XII-47	235	911	-0.908976940854619
IC-87114	236	919	4.36164109847586
Idelalisib	238	920	2.90460634039308
UNC0638	245	913	1.38218448559603
UNC0638	1236	927	1.69707671026954
Cabozantinib	249	917	1.18165363364872
WZ3105	252	920	-2.19596270503499
XMD14-99	253	920	3.34116616313335
Quizartinib	254	920	1.30036808120492
CP724714	255	920	3.28040677024465
JW-7-24-1	256	920	0.546770928461215
NPK76-II-72-1	257	917	0.756779600758049
STF-62247	258	916	3.39551800401762
NG-25	260	918	1.02445185898684
TL-1-85	261	918	1.32179509582694
VX-11e	262	918	2.69261663321761
FR-180204	263	918	3.83759724120136
ACY-1215	264	923	0.0616670916919491
Tubastatin A	265	916	3.86576765049263
Zibotentan	266	918	4.8128668381937
Sepantronium bromide	268	878	-6.01058016751828
NSC-207895	269	914	1.89618769858645
VNLG/124	271	914	2.96796620437211
AR-42	272	905	-2.36994385534383
CUDC-101	273	899	-2.39214033876733
Belinostat	274	892	-1.86936060210476
I-BET-762	275	915	2.04127494517323
CAY10603	276	909	-1.14652139619896
Linifanib	277	920	1.64276811768563
BIX02189	279	917	2.80513399593549
Alectinib	281	917	2.95376809597754
Pelitinib	282	919	-0.691981644324081
Omipalisib	283	920	-3.87858367131242
JNJ38877605	284	923	2.99667573130039
SU11274	285	924	3.02948091941623
KIN001-236	286	918	3.07186285179729
KIN001-244	287	917	1.91680280389826
WHI-P97	288	918	2.70308756598773
KIN001-042	289	923	3.68968820393238
KIN001-260	290	917	3.9110247129542
KIN001-266	291	917	2.27872498859949
Masitinib	292	919	2.28978220210956
Amuvatinib	293	912	2.5093993707445
MPS-1-IN-1	294	916	1.8780545560971
NVP-BHG712	295	918	1.19139551950746
OSI-930	298	919	2.83832303291378
OSI-027	299	906	-2.26497807518724
CX-5461	300	912	3.56955628412322
PHA-793887	301	918	1.13434250102628
PI-103	302	907	-2.2650959915575
PIK-93	303	917	1.14273611995067
SB52334	304	915	2.70834003103151
TPCA-1	305	918	1.33954693396969
Fedratinib	306	920	0.476418826614361
Foretinib	308	915	-1.26771831623857
Y-39983	309	917	3.87672022583051
YM201636	310	918	0.582090291565865
Tivozanib	312	918	-0.391586430207253
WYE-125132	317	911	-3.1606158895664
GSK690693	326	916	3.44326511479304
SNX-2112	328	907	-3.68210646342785
QL-XI-92	329	920	3.39774587483624
XMD13-2	330	919	1.55871387466083
QL-X-138	331	908	-0.691365853502765
XMD15-27	332	920	3.65043455236694
T0901317	333	913	3.23801305415609
Selisistat	341	915	4.63761762534678
Tenovin-6	342	925	0.973113296256723
THZ-2-49	344	905	-0.854880847946727
KIN001-270	345	918	3.77969660262551
THZ-2-102-1	346	896	-4.72600605550195
AT7867	356	925	1.3262874805705
CI-1033	362	923	0.537636959689699
