drug,cell_line,gCSI IC50
bid1870,1321N1,10
bortezomib,1321N1,0.03
crizotinib,1321N1,1
dasatinib,1321N1,NaN
docetaxel,1321N1,0
doxorubicin,1321N1,0.09
erlotinib,1321N1,10
gdc0941,1321N1,10
gemcitabine,1321N1,0
irinotecan,1321N1,0.5
lapatinib,1321N1,6.76
ms275,1321N1,0.1
paclitaxel,1321N1,0.01
pd0325901,1321N1,1.49
rapamycin,1321N1,0.1
thapsigargin,1321N1,0.02
vinblastine,1321N1,NaN
vorinostat,1321N1,1.52
bid1870,23132/87,10
bortezomib,23132/87,0.04
crizotinib,23132/87,1
dasatinib,23132/87,NaN
docetaxel,23132/87,0.03
doxorubicin,23132/87,0.45
erlotinib,23132/87,10
gdc0941,23132/87,10
gemcitabine,23132/87,0.06
irinotecan,23132/87,1.77
lapatinib,23132/87,20
ms275,23132/87,0.1
paclitaxel,23132/87,0.05
pd0325901,23132/87,8.98
rapamycin,23132/87,0.1
thapsigargin,23132/87,0.12
vinblastine,23132/87,NaN
vorinostat,23132/87,1.75
bid1870,769-P,10
bortezomib,769-P,0.07
crizotinib,769-P,1
dasatinib,769-P,0.04
docetaxel,769-P,0.02
doxorubicin,769-P,2.84
erlotinib,769-P,10
gdc0941,769-P,10
gemcitabine,769-P,1
irinotecan,769-P,13.87
lapatinib,769-P,20
ms275,769-P,0.1
paclitaxel,769-P,0.04
pd0325901,769-P,0.78
rapamycin,769-P,0.1
thapsigargin,769-P,0.12
vinblastine,769-P,0.05
vorinostat,769-P,4.07
bid1870,786-O,10
bortezomib,786-O,0.04
crizotinib,786-O,1
dasatinib,786-O,NaN
docetaxel,786-O,0.04
doxorubicin,786-O,0.54
erlotinib,786-O,10
gdc0941,786-O,10
gemcitabine,786-O,0
irinotecan,786-O,1.26
lapatinib,786-O,7.05
ms275,786-O,0.1
paclitaxel,786-O,0.17
pd0325901,786-O,20
rapamycin,786-O,0.1
thapsigargin,786-O,0.05
vinblastine,786-O,NaN
vorinostat,786-O,3.49
bid1870,8305C,10
bortezomib,8305C,0.02
crizotinib,8305C,1
dasatinib,8305C,NaN
docetaxel,8305C,0.02
doxorubicin,8305C,0.91
erlotinib,8305C,10
gdc0941,8305C,10
gemcitabine,8305C,0.02
irinotecan,8305C,4.18
lapatinib,8305C,8.24
ms275,8305C,0.1
paclitaxel,8305C,0.05
pd0325901,8305C,0.45
rapamycin,8305C,0.1
thapsigargin,8305C,0.05
vinblastine,8305C,NaN
vorinostat,8305C,1.74
bid1870,8505C,10
bortezomib,8505C,0.02
crizotinib,8505C,1
dasatinib,8505C,NaN
docetaxel,8505C,0.02
doxorubicin,8505C,0.17
erlotinib,8505C,10
gdc0941,8505C,10
gemcitabine,8505C,0.02
irinotecan,8505C,1.11
lapatinib,8505C,20
ms275,8505C,0.1
paclitaxel,8505C,0.03
pd0325901,8505C,0.39
rapamycin,8505C,0.1
thapsigargin,8505C,1
vinblastine,8505C,NaN
vorinostat,8505C,1.75
bid1870,A172,10
bortezomib,A172,0.01
crizotinib,A172,1
dasatinib,A172,NaN
docetaxel,A172,0.02
doxorubicin,A172,0.66
erlotinib,A172,10
gdc0941,A172,10
gemcitabine,A172,0.02
irinotecan,A172,2.02
lapatinib,A172,7.94
ms275,A172,0.1
paclitaxel,A172,0.08
pd0325901,A172,13.73
rapamycin,A172,0.1
thapsigargin,A172,0.07
vinblastine,A172,NaN
vorinostat,A172,2.02
bid1870,A2058,10
bortezomib,A2058,0.02
crizotinib,A2058,1
dasatinib,A2058,0.1
docetaxel,A2058,0
doxorubicin,A2058,0.03
erlotinib,A2058,10
gdc0941,A2058,10
gemcitabine,A2058,0.01
irinotecan,A2058,0.41
lapatinib,A2058,4.77
ms275,A2058,0.1
paclitaxel,A2058,0.01
pd0325901,A2058,0.02
rapamycin,A2058,0.1
thapsigargin,A2058,0.03
vinblastine,A2058,0
vorinostat,A2058,2.08
bid1870,A2780,10
bortezomib,A2780,0.02
crizotinib,A2780,0.73
dasatinib,A2780,NaN
docetaxel,A2780,0.01
doxorubicin,A2780,0.21
erlotinib,A2780,10
gdc0941,A2780,10
gemcitabine,A2780,0.01
irinotecan,A2780,0.71
lapatinib,A2780,15.23
ms275,A2780,0.1
paclitaxel,A2780,0.02
pd0325901,A2780,0.61
rapamycin,A2780,0.1
thapsigargin,A2780,0.03
vinblastine,A2780,NaN
vorinostat,A2780,1.41
bid1870,A-375,10
bortezomib,A-375,0.01
crizotinib,A-375,0.82
dasatinib,A-375,0.1
docetaxel,A-375,0.01
doxorubicin,A-375,0.05
erlotinib,A-375,10
gdc0941,A-375,10
gemcitabine,A-375,0
irinotecan,A-375,0.43
lapatinib,A-375,9.97
ms275,A-375,0.1
paclitaxel,A-375,0.02
pd0325901,A-375,0
rapamycin,A-375,0.1
thapsigargin,A-375,0.03
vinblastine,A-375,0.01
vorinostat,A-375,1.48
bid1870,A388,NaN
bortezomib,A388,NaN
crizotinib,A388,1
dasatinib,A388,NaN
docetaxel,A388,NaN
doxorubicin,A388,NaN
erlotinib,A388,10
gdc0941,A388,NaN
gemcitabine,A388,NaN
irinotecan,A388,NaN
lapatinib,A388,8.39
ms275,A388,NaN
paclitaxel,A388,0.07
pd0325901,A388,20
rapamycin,A388,NaN
thapsigargin,A388,NaN
vinblastine,A388,NaN
vorinostat,A388,NaN
bid1870,A3/KAW,NaN
bortezomib,A3/KAW,NaN
