Cell line Name,Model ID, COSMIC ID, TCGA Classfication, Tissue,Tissue sub-type, Datasets, number of drugs
"PFSK-1","SIDM01132","683667","MB","nervous_system","medulloblastoma","GDSC1","324"
"A673","SIDM00848","684052","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC1","353"
"ES5","SIDM00263","684057","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","374"
"ES7","SIDM00269","684059","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","392"
"EW-11","SIDM00203","684062","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","344"
"SK-ES-1","SIDM01111","684072","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","388"
"COLO-829","SIDM00909","687448","SKCM","skin","melanoma","GDSC1","378"
"5637","SIDM00807","687452","BLCA","urogenital_system","bladder","GDSC1","347"
"RT4","SIDM01085","687455","BLCA","urogenital_system","bladder","GDSC1","349"
"SW780","SIDM01160","687457","BLCA","urogenital_system","bladder","GDSC1","346"
"TCCSUP","SIDM01190","687459","BLCA","urogenital_system","bladder","GDSC1","345"
"C-33-A","SIDM00889","687505","CESC","urogenital_system","cervix","GDSC1","344"
"C-4-I","SIDM00905","687506","CESC","urogenital_system","cervix","GDSC1","328"
"ME-180","SIDM00627","687514","CESC","urogenital_system","cervix","GDSC1","347"
"42-MG-BA","SIDM00982","687561","GBM","nervous_system","glioma","GDSC1","345"
"8-MG-BA","SIDM00998","687562","GBM","nervous_system","glioma","GDSC1","394"
"A172","SIDM00799","687563","GBM","nervous_system","glioma","GDSC1","336"
"GB-1","SIDM00581","687568","GBM","nervous_system","glioma","GDSC1","394"
"T98G","SIDM01171","687586","GBM","nervous_system","glioma","GDSC1","345"
"U-118-MG","SIDM01193","687588","GBM","nervous_system","glioma","GDSC1","346"
"U-87-MG","SIDM01189","687590","GBM","nervous_system","glioma","GDSC1","385"
"YKG-1","SIDM00315","687592","GBM","nervous_system","glioma","GDSC1","343"
"ChaGo-K-1","SIDM00924","687596","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","346"
"NCI-H720","SIDM01120","687600","UNCLASSIFIED","lung","lung_NSCLC_carcinoid","GDSC1","386"
"Calu-3","SIDM00922","687777","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"COR-L23","SIDM00512","687780","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","353"
"LK-2","SIDM00548","687787","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","351"
"NCI-H1437","SIDM00734","687794","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","340"
"NCI-H1623","SIDM00747","687798","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"NCI-H1648","SIDM00746","687799","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","398"
"NCI-H1650","SIDM00745","687800","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","358"
"NCI-H1693","SIDM00742","687802","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","269"
"NCI-H1770","SIDM00737","687804","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","392"
"NCI-H1838","SIDM00769","687807","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","385"
"NCI-H2085","SIDM00709","687812","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","323"
"NCI-H2170","SIDM00716","687815","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","345"
"NCI-H2228","SIDM00729","687816","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","318"
"NCI-H2342","SIDM00727","687819","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","341"
"NCI-H2347","SIDM00726","687820","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"NCI-H2405","SIDM00724","687821","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","346"
"NCI-H661","SIDM01122","687829","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","345"
"COR-L311","SIDM00509","687980","SCLC","lung","lung_small_cell_carcinoma","GDSC1","118"
"DMS-114","SIDM00865","687983","SCLC","lung","lung_small_cell_carcinoma","GDSC1","392"
"DMS-273","SIDM00522","687985","SCLC","lung","lung_small_cell_carcinoma","GDSC1","341"
"NCI-H1048","SIDM00654","687995","SCLC","lung","lung_small_cell_carcinoma","GDSC1","345"
"NCI-H1092","SIDM00653","687997","SCLC","lung","lung_small_cell_carcinoma","GDSC1","387"
"NCI-H1694","SIDM00741","688006","SCLC","lung","lung_small_cell_carcinoma","GDSC1","394"
"NCI-H187","SIDM00767","688007","SCLC","lung","lung_small_cell_carcinoma","GDSC1","387"
"NCI-H1963","SIDM00760","688010","SCLC","lung","lung_small_cell_carcinoma","GDSC1","170"
"NCI-H2029","SIDM00735","688011","SCLC","lung","lung_small_cell_carcinoma","GDSC1","347"
"NCI-H209","SIDM00706","688013","SCLC","lung","lung_small_cell_carcinoma","GDSC1","384"
"NCI-H2141","SIDM00699","688014","SCLC","lung","lung_small_cell_carcinoma","GDSC1","395"
"NCI-H2171","SIDM00733","688015","SCLC","lung","lung_small_cell_carcinoma","GDSC1","218"
"NCI-H2227","SIDM00730","688018","SCLC","lung","lung_small_cell_carcinoma","GDSC1","310"
"NCI-H345","SIDM00719","688021","SCLC","lung","lung_small_cell_carcinoma","GDSC1","393"
"NCI-H446","SIDM00965","688023","SCLC","lung","lung_small_cell_carcinoma","GDSC1","393"
"NCI-H526","SIDM01128","688025","SCLC","lung","lung_small_cell_carcinoma","GDSC1","385"
