Molecule,Cell line
PF-2341066,SNU-620
PF-2341066,SNU-638
PF-2341066,SR
PF-2341066,GTL-16
PF-2341066,Hs 746T
PF-2341066,NCI-H2228
PF-2341066,SU-DHL-1
PF-2341066,NCI-H1993
PF-2341066,NUGC-4
PF-2341066,TC-71
PF-2341066,G111
PF-2341066,HCC78
PF-2341066,KELLY
PF-2341066,NCI-H2595
PF-2341066,SK-N-SH
PF-2341066,KU812
PF-2341066,A172
PF-2341066,WSU-FSCCL
PF-2341066,IMR-32
PF-2341066,SUP-B15
PF-2341066,RERF-LC-MS
PF-2341066,Detroit 562
PF-2341066,KP4
PF-2341066,HNT-34
PF-2341066,UKE-1
PF-2341066,HCC4019
PF-2341066,K-562
PF-2341066,MOLM-16
PF-2341066,A2780
PF-2341066,CHP-212
PF-2341066,Daudi
PF-2341066,SW 1573
PF-2341066,LoVo
PF-2341066,KYSE-150
PF-2341066,SCC-3
PF-2341066,Panc 03.27
PF-2341066,KM-12
PF-2341066,MEL-HO
PF-2341066,HGC-27
PF-2341066,SET-2
PF-2341066,MeWo
PF-2341066,HEY
PF-2341066,SNU-398
PF-2341066,COR-L26
PF-2341066,JHH-5
PF-2341066,SK-CO-1
PF-2341066,Capan-2
PF-2341066,KHM-1B
PF-2341066,GRANTA-519
PF-2341066,SU-DHL-5
PF-2341066,GA-10
PF-2341066,PA-TU-8988T
PF-2341066,KCI-MOH1
PF-2341066,NCI-H2461
PF-2341066,Panc 05.04
PF-2341066,UMC-11
PF-2341066,KARPAS-620
PF-2341066,OCI-LY-10
PF-2341066,SK-MEL-30
PF-2341066,KYSE-450
PF-2341066,NUGC-3
PF-2341066,NTERA-2
PF-2341066,SK-N-AS
PF-2341066,SK-N-DZ
PF-2341066,LOX-IMVI
PF-2341066,NCI-H460
PF-2341066,537 MEL
PF-2341066,OCI-M1
PF-2341066,NALM-6
PF-2341066,SK-MEL-24
PF-2341066,YAPC
PF-2341066,HCC4011
PF-2341066,UCSD-242l
PF-2341066,MOLP-8
PF-2341066,NCI-H1299
PF-2341066,U-937
PF-2341066,HOP-92
PF-2341066,GP2d
PF-2341066,NCI-H441
PF-2341066,HeLa
PF-2341066,G44
PF-2341066,NCI-H292
PF-2341066,A-375
PF-2341066,ML-2
PF-2341066,NCI-H2810
PF-2341066,T98G
PF-2341066,MOLM-13
PF-2341066,PE01
PF-2341066,JEKO-1
PF-2341066,HUP-T4
PF-2341066,Capan-1
PF-2341066,HCC827
PF-2341066,Panc 02.03
PF-2341066,CA46
PF-2341066,PC-3
PF-2341066,OAW42
PF-2341066,NCI-H1581
PF-2341066,PK-59
PF-2341066,NCI-H2009
PF-2341066,SJCRH30
PF-2341066,UM-UC-3
PF-2341066,G-361
PF-2341066,AGS
PF-2341066,KMM-1
