Cell Line,GDC.0941,GDC.0980,PD901,GDC.0973,PD173074
143B,20,0.18,0.0058,0.2106,7.7105
59M,20,0.1235,20,10,20
624 mel,20,0.2275,0.0828,0.421,7.3526
769-P,20,0.0774,0.813,1.2885,7.209
786-O,20,0.1603,20,2.1435,6.9323
A-673,20,0.1059,20,1.5243,8.3218
ABC-1,6.8337,0.2375,20,10,16.825
ACHN,0.2693,0.0472,7.1077,1.6913,3.4673
AMO-1,20,0.2166,0.8503,2.4911,7.7023
AN3 CA,0.0587,0.0532,20,2.9295,1.0473
BEN,20,0.0714,20,10,20
BHY,0.7315,0.1297,1.1057,0.7363,8.0979
BICR 10,0.1046,0.0865,2.4254,2.9018,0.8626
BICR 22,0.1311,0.1017,0.3579,1.0891,20
BJAB,0.0993,0.0391,20,3.411,7.8026
BT-20,0.5487,0.0258,20,10,15.0858
C-33 A,0.2853,0.0085,0.0358,0.4178,3.1235
C2BBe1,0.1108,0.0287,0.0146,0.3477,8.5645
C32,20,1.5907,0.003048316,0.0086,10.6166
Ca Ski,0.1985,0.0295,20,7.6384,8.958
CA46,0.1709,0.0187,20,1.3889,7.3174
Caki-1,20,0.221,2.382,0.9147,NaN
Caki-2,0.318,0.0737,1.4859,1.1433,7.0017
CAL 27,0.2193,0.1462,0.0248,0.2638,20
CAL 54,0.0885,0.0125,0.3881,0.517,6.5942
CAL-12T,0.2955,0.0483,0.0873,0.3655,5.9129
CAL-148,0.2867,0.0908,20,10,19.7166
Caov-3,20,4.5222,20,3.0816,7.5577
Capan-1,20,0.5673,2.0946,2.759,8.1611
Capan-2,20,0.0814,0.003048316,0.2291,9.2715
ChaGo-K-1,20,0.5096,20,10,20
CHP-212,0.1237,0.003048316,0.003048316,0.0029,6.9503
CI-1,0.2384,0.1186,20,3.2963,8.3917
CL-34,20,20,0.003048316,0.0617,20
COLO 206F,20,0.0483,0.003048316,0.001524158,10.5136
COLO 320DM,20,0.1259,20,10,8.792
COLO 678,20,20,0.003048316,0.2071,8.8312
COLO 741,20,0.0682,0.003048316,0.0393,7.15
COLO 794,20,0.3113,0.003048316,0.0086,6.3436
COLO 849,20,0.5906,0.0597,0.0805,11.1371
COLO-704,0.1054,0.0531,20,10,20
COR-L47,20,20,20,10,20
COV318,20,0.2602,20,10,20
COV362,20,1.3981,20,10,20
COV413B,0.227,0.0347,20,5.919,9.9489
COV434,20,0.1289,20,4.9202,4.9264
COV504,20,0.5078,20,10,15.4914
DAN-G,0.1069,0.003048316,0.0301,0.0896,3.0123
Daudi,0.0668,0.0489,20,10,10.8857
DB,20,0.6341,20,6.5747,8.2174
Detroit 562,0.6093,0.1308,0.5176,1.0131,7.1456
DMS 273,0.0633,0.003048316,20,1.8487,4.1059
DOHH-2,0.0619,0.0441,20,10,14.1736
DOR 13,1.8799,0.0442,20,10,13.092
DU 145,0.1308,0.0651,0.2476,1.9762,8.6688
DV-90,1.9745,0.4226,0.0249,0.2177,16.2926
EB-3,20,0.7059,20,10,15.0512
EB2,0.1685,0.0597,20,10,12.7783
EFM-19,0.004,0.003048316,20,10,5.501
EFM-192A,0.137,0.0147,20,10,11.0774
EJM,20,0.062,20,10,8.7657
EPLC-272H,0.0525,0.003048316,2.4737,0.8655,6.9818
FaDu,20,0.0833,8.8612,0.7037,9.1888
FU97,0.1402,0.1086,0.0804,0.1718,0.3759
G-361,20,0.1649,0.003048316,0.0075,4.8693
G-402,0.5161,0.0121,0.003048316,0.0198,6.7286
G111,0.085,0.004,0.177,0.3182,2.1581
G118,0.4234,0.0709,7.6228,1.3451,8.1124
G120,0.0475,0.0041,0.3297,0.936,7.2419
G121,20,0.5312,1.7314,0.7298,7.6633
G122,20,2.1863,20,10,7.8672
G124,1.3136,0.0623,0.2152,0.4965,2.2997
G130,20,2.5238,20,10,8.4194
G140,1.9701,0.0386,20,1.0061,1.1785
G22,20,0.0397,5.8449,1.8171,3.9795
G28T,20,0.1566,7.5409,1.3297,3.3769
G44,1.0888,0.0916,3.5147,1.5963,6.9906
G59,20,0.0714,20,1.3729,4.3298
G61,0.6208,0.0329,0.3286,0.5846,0.3074
G84,20,0.0794,9.3746,1.4043,2.9587
GA-10,0.0344,0.0214,20,10,20
