Model,Tumor Type,Treatment
X-007,GC,BGJ398
X-007,GC,BGJ398
X-007,GC,BGJ398
X-007,GC,BGJ398
X-007,GC,BKM120
X-007,GC,BKM120
X-007,GC,BKM120
X-007,GC,BKM120
X-007,GC,BKM120
X-007,GC,BYL719
X-007,GC,BYL719
X-007,GC,BYL719
X-007,GC,BYL719
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + HSP990
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,BYL719 + LJM716
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,CLR457
X-007,GC,HDM201
X-007,GC,HDM201
X-007,GC,HDM201
X-007,GC,HDM201
X-007,GC,"figitumumab"""
X-007,GC,"figitumumab"""
X-007,GC,"figitumumab"""
X-007,GC,"figitumumab"""
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,HSP990
X-007,GC,INC280
X-007,GC,INC280
X-007,GC,INC280
X-007,GC,INC280
X-007,GC,INC280
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
X-007,GC,INC280 + trastuzumab
